StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"NY",36,10,733275,0.19521598308956395,0.13550168763424364,0.20456445399065834,0.1458756946575296,0.10255224847431045,4.8328389758276226e-2,0.10831679792710784,5.964474446830998e-2
"NY",36,11,755204,0.18317037515691126,0.14776934444203155,0.18001890879815255,0.17411189559377332,0.10031064454107765,5.082335368986393e-2,0.10230613185311518,6.148934592507455e-2
"NY",36,12,714279,0.2197068652445333,0.13503826935973198,0.221774684682036,0.14967680696198543,9.237426831812219e-2,3.76743541389289e-2,0.10540979085203402,3.834496044262816e-2
"NY",36,13,802800,8.055181863477828e-2,4.8031888390632785e-2,8.309915296462382e-2,5.051444942700548e-2,0.2326457399103139,0.10782884902840059,0.24284877927254608,0.15447932237169906
"NY",36,14,691813,0.12374875869635292,9.393000709729363e-2,0.11174262409061408,0.10169077481920692,0.18586236454070681,9.736012477360212e-2,0.1744257479983753,0.11123959798384823
"NY",36,15,781143,5.5338139111532715e-2,2.548445035031998e-2,5.248462829469124e-2,3.781253880531477e-2,0.2836023621795241,0.111956453555879,0.28925049574789763,0.14407093195484053
"NY",36,16,742552,0.11201909091888514,0.10669555802152576,0.11190866094226398,0.12429163210118618,0.16148902703110354,8.699188743683944e-2,0.17550420711276787,0.12109993643542809
"NY",36,17,746412,0.19112098948034062,0.15043702405641923,0.18097377855661484,0.1721020026473315,0.10496749784301432,4.5803122136300056e-2,9.714340069559439e-2,5.745218458438503e-2
"NY",36,18,730114,0.21055615972300215,0.17406596778037403,0.19407517182248252,0.1922206669095511,8.07723177476394e-2,3.349613895912145e-2,7.644970511454376e-2,3.836387194328557e-2
"NY",36,19,700975,0.21272513285067227,0.22212917721744713,0.20462213345697064,0.23871750062413066,4.656514141017868e-2,1.9876600449374088e-2,3.65933164520846e-2,1.877099753914191e-2
"NY",36,20,732130,0.20984661194050236,0.17586221026320462,0.20399109447775668,0.20270716949175693,7.493614522011119e-2,2.6402414871675797e-2,7.720350211028096e-2,2.905085162471146e-2
"NY",36,21,705669,0.25081589243682234,0.20863606024921033,0.23334311128872035,0.22285519131490827,4.13040674877315e-2,1.2136001439768503e-2,2.3897889803859883e-2,7.011785978978813e-3
"NY",36,22,696819,0.23469509298684452,0.20935565763849723,0.22297181908070818,0.22912549743907673,3.989988791924445e-2,1.3227251266110712e-2,3.740856664356167e-2,1.3316227025956525e-2
"NY",36,23,702026,0.23872192767789227,0.2057402432388544,0.23452122855848645,0.2246626193331871,4.2173651688114114e-2,1.1622076675222855e-2,3.1174059080432918e-2,1.138419374780991e-2
"NY",36,24,707889,0.21966720771194354,0.1898348469887228,0.21620338781927675,0.21420024890908038,5.784663979804743e-2,2.0443883151172005e-2,5.967602265326909e-2,2.2127762968487997e-2
"NY",36,25,719033,0.19378526437590485,0.16839839061628603,0.1908577214119519,0.19319141124259945,8.681381800278985e-2,3.2386552494809e-2,9.219048360784554e-2,4.2376358247813384e-2
